HOSPITAL_ID,OWNER_ID,NAME,ADDRESS,DETAIL_ADDRESS,PHONE,LATITUDE,LONGITUDE,OPEN_TIME,CLOSE_TIME,STATUS,DESCRIPTION,IMAGE_URL,CREATED_AT,UPDATED_AT,WEBSITE_URL,DISTRICT,STATUS_CODE,OPERATION_STATUS_TEXT,DATA_UPDATED_AT,LAST_MODIFIED_AT,BREAK_TIME,CLOSED_DAYS,MEDICAL_SUBJECTS,DOCTOR_INFO,OWNER_NAME,SOURCE_URL,CHECKED_AT,NOTE,COLUMN1
1,,마포온 동물메디컬센터,서울특별시 마포구 마포대로 173-14 마포 센텀 슬로우스퀘어 308~310호 (아현동),서울특별시 마포구 아현동 618-19 마포 센텀 슬로우스퀘어,0507-1319-3535,195829.955210361,449860.57540675,10:00,19:30,OPEN,마포온 동물메디컬센터는 수술 및 중증질환 중심의 2차 동물병원입니다. 보호자분들이 어려운 치료 선택 과정에서 보다 합리적인 결정을 내릴 수 있도록 정확한 진단과 충분한 설명을 제공합니다. 중환자 심혈관계질환 호르몬질환 정형외과 신경외과 연부조직외과 진료를 기반으로 체계적인 진단과 치료 시스템을 운영합니다. 치료 과정과 예후를 보호자분들께 이해하기 쉽게 안내하며 환자와 보호자 모두가 안심할 수 있는 진료 환경을 만들어가겠습니다. 현재 2026년 7월1일 개원예정이며 지역사회와 오래 함께할 수 있는 신뢰 기반의 동물메디컬센터를 지향합니다.,1,,,https://www.instagram.com/mapoonamc,마포구,1,영업/정상,2026-06-26 18:15:41,2026-06-27 22:02:51,13:00-14:00,,2,피부과/내과/안과/치과/임상병리학과/영상의학과/예방의학과/이비인후과/비뇨기과/외과/정형외과/산과,소재원,https://www.instagram.com/mapoonamc,2026-07-08,,
2,,24시여의동물의료센터,서울특별시 영등포구 국회대로74길 4 KCTOWER 1층 (여의도동),서울특별시 영등포구 여의도동 13-13 KCTOWER,02-785-2475,,,00:00,24:00,OPEN,우리 병원은 여의도에 위치한 24시 동물병원입니다.,2,,,,,영등포구,1,영업/정상,2026-07-03 14:34:37,2026-07-04 22:02:00,,,,내과/외과/정형외과/피부과/영상의학과,내과/외과/정형외과/피부과/영상의학과,,https://map.naver.com/p/entry/place/2074651089?lng=126.9207301&lat=37.5305045&placePath=%2Ffeed%3FfeedId%3D21416120&searchType=place&c=15.00 0 0 0 dh,2026-07-08,26/07/05 신규 설립,
3,,늘숨동물병원&심장영상센터,서울특별시 은평구 수색로 217 107호 108호 (수색동 디엠씨 자이1단지(DMC 자이1)),서울특별시 은평구 수색동 75 디엠씨 자이1단지(DMC 자이1) 107호 108호,02-2135-4275,190977.850603548,453037.787995874,10:00,19:30,OPEN,19년간 임상에서 환자를 보면서 실력을 인정 받아 다른 수의사 선생님들께도 심장초음파를 강의해왔습니다.,3,,,https://blog.naver.com/neulsoom_,은평구,1,영업/정상,2026-06-19 18:01:01,2026-06-20 22:32:00,13:00-14:00,일,심장과,심장과,아정우,https://blog.naver.com/neulsoom_,2026-07-08,심장 전문,
4,,더벳연희동물병원,서울특별시 서대문구 증가로 15 연희빌딩 1층 (연희동),서울특별시 서대문구 연희동 122-2 연희빌딩,02-6623-0425,193838.398370816,451917.623381651,10:00,20:00,OPEN,- 내과/피부과 석사 수의사 선생님이 계십니다. - 내과/피부과 외과 진료 검역 서류를 하고 있습니다. - 예약 우선제 입니다. 예약은 전화와 네이버를 통해 가능합니다.,4,,,http://www.thevetyeonhui.com,서대문구,1,영업/정상,2026-06-01 10:33:44,2026-06-02 22:02:03,,일요일,,외과/내과,김학윤,https://www.thevetyeonhui.com/,2026-07-08,,
5,,반포아이즈안과 동물병원,서울특별시 서초구 서래로 24 다솜빌딩 2층 (반포동),서울특별시 서초구 반포동 90-10 다솜빌딩,02-533-2606,199795.776843503,443879.359734194,10:00,19:00,OPEN,반포아이즈안과동물병원은 건국대학교 안과 수의학 박사 학위를 취득한 대표 원장이 직접 진료와 수술을 하는 안과 특화 동물병원입니다,5,,,https://talk.naver.com/profile/wk9n2c7,서초구,1,영업/정상,2026-05-28 09:34:00,2026-05-29 22:02:00,13:00-14:00,일,,안과/정밀검진,,https://booking.naver.com/booking/13/bizes/1670762,2026-07-07,안과전문,
6,,봄날에동물병원,서울특별시 강북구 삼양로19길 214 금강빌딩 지1층 (미아동),서울특별시 강북구 미아동 1353-7 금강빌딩 지1층,02-6949-1579,201293.723872419,457479.348898803,10:00,20:00,OPEN,우리 아이와 함께하는 일상이 늘 따뜻한 '봄날'이기를 바랍니다. 솔샘역 우리 동네 평생 주치의 <봄날에 동물병원>입니다. 말 못 하는 반려동물이 아플 때 가장 필요한 것은 정확한 진단과 따뜻한 보살핌입니다. 봄날에 동물병원은 생명을 대하는 무거운 책임감을 바탕으로 아이들에게는 무섭지 않은 병원을 보호자님께는 믿고 맡길 수 있는 든든한 병원이 되겠습니다.,6,,,https://blog.naver.com/bomnaleah,강북구,1,영업/정상,2026-06-09 15:06:58,2026-06-10 03:03:03,13:00-14:00,매주 일요일,내과/외과,내과/외과,,https://blog.naver.com/bomnaleah,2026-07-08,,
7,,내과관리전문 봄결동물병원 서초점,서울특별시 서초구 서초중앙로2길 66 202호 (서초동),서울특별시 서초구 서초동 1430-3 202호,02-582-5393,201775.609433072,442471.689586747,10:00,19:00,OPEN,내분비(쿠싱 당뇨 갑상선) 심장 신장 질환 관리 전문 동물병원,7,,,https://bomgyeolah.com/#mission,서초구,1,영업/정상,2026-05-20 16:30:20,2026-05-21 22:02:00,13:00-14:00,수/목,,내과,,https://bomgyeolah.com/#mission,2026-07-07,내과전문,
8,,더베이스 동물피부과병원,서울특별시 용산구 한강대로 95 B동 지하2층 263호 (한강로2가 래미안용산 더 센트럴),서울특별시 용산구 한강로2가 422 래미안용산 더 센트럴,02-6954-0175,197011.737528847,447430.100250997,09:30,18:30,OPEN,국내외 임상 현장에서 증명된 풍부한 경험과 학술적 성과를 토대로 반려동물에게 최적화된 고품격 피부과 진료를 실현합니다.,8,,,https://thebasevd.co.kr/,용산구,1,영업/정상,2026-05-20 18:07:30,2026-05-21 22:32:00,13:30-14:30,일,피부과,피부과,박진오,https://thebasevd.co.kr/,2026-07-08,피부 전문,
9,,서울 스템셀 동물병원,서울특별시 영등포구 의사당대로 38 101-105호 (여의도동),서울특별시 영등포구 여의도동 17 여의도더샵아일랜드파크,02-780-9441,192747.419300064,447054.988337321,10:00,17:00,OPEN,마음 편히 찾을 수 있는 따뜻한 공간에서 첨단 줄기세포 치료부터 믿을 수 있는 일반 진료까지 정직하게 처방하겠습니다.,9,,,,https://map.naver.com/p/entry/place/2093413815?lng=126.9187147&lat=37.5257581&placePath=%2Fbooking%3FfromNxList%3Dtrue%26fromPanelNum%3D1%26additionalHeight%3D76%26timestamp%3D202607081312%26locale%3Dko%26svcName%3Dmap_pcv5&placeSearchOption=entry%3D%26fromNxList%3Dtrue&searchType=place&c=15.00 0 0 0 dh,영등포구,1,영업/정상,2026-05-14 13:43:23,2026-05-15 22:02:00,12:00-13:00,일,내과/외과/치과,내과/외과/치과,,https://map.naver.com/p/entry/place/2093413815?lng=126.9187147&lat=37.5257581&placePath=%2Fbooking%3FfromNxList%3Dtrue%26fromPanelNum%3D1%26additionalHeight%3D76%26timestamp%3D202607081312%26locale%3Dko%26svcName%3Dmap_pcv5&placeSearchOption=entry%3D%26fromNxList%3Dtrue&searchType=place&c=15.00 0 0 0 dh,2026-07-08,정보 많이 없음,
10,,포커스동물의료센터,서울특별시 영등포구 신풍로 28 제에코동 지하1층 제비128~131호 (신길동 비스타동원),서울특별시 영등포구 신길동 4975 비스타동원 제에코동 제비128호,02-6952-4946,,,10:00,20:00,OPEN,과하지 않지만 부족함 없이 신뢰할 수 있는 의료를 꾸준히 이어가겠습니다. 항상 최선을 다해 진료하겠습니다.,10,,,http://focusamc26.com/landing.php,영등포구,1,영업/정상,2026-05-08 10:37:31,2026-05-11 22:02:42,13:00-14:00,,내과/외과/안과/피부과/정형외과,내과/외과/안과/피부과/정형외과,이충일,http://focusamc26.com/landing.php,2026-07-08,,
